AppName,TestPackage,TestRunnerClassPath,TestClassPath,TestMethodName,Status,Reason
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testPreparePausedState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testPreparePlayingState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testPreparePreparedState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testPreparedPlayingState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testReinitInitializedState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testReinitPausedState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testReinitPlayingState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testResumePausedState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testResumePlayingState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.service.playback.PlaybackServiceMediaPlayerTest,testResumePreparedState,Pass,
,,,,,,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.storage.DBTasksTest,testUpdateFeedMediaUrlResetState,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.storage.DBTasksTest,testUpdateFeedNewFeed,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.storage.DBTasksTest,testUpdateFeedSameTitle,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.storage.DBTasksTest,testUpdateFeedUpdatedFeed,Pass,
,,,,,,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.gpodnet.GPodnetServiceTest,null,Pass,
,,,,,,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.storage.DBCleanupTests,testPerformAutoCleanupHandleUnplayed,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.storage.DBCleanupTests,testPerformAutoCleanupShouldDelete,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.storage.DBCleanupTests,testPerformAutoCleanupShouldNotDeleteBecauseFavorite,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.storage.DBCleanupTests,testPerformAutoCleanupShouldNotDeleteBecauseInQueue,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.storage.DBCleanupTests,testPerformAutoCleanupShouldNotDeleteBecauseInQueue_withFeedsWithNoMedia,Pass,
,,,,,,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.feed.FeedItemTest,testAndroidTestCaseSetupProperly,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.feed.FeedItemTest,testShownotesLength,Pass,
de.danoeh.antennapod,de.test.antennapod,android.support.test.runner.AndroidJUnitRunner,de.test.antennapod.feed.FeedItemTest,testShownotesNullValues,Pass,
